S0215,TILBURY,ON
S0459,TORONTO,ON
S0135,WALLACEBURG,ON
S0188,DRYDEN,ON
S0201,NIPIGON,ON
S0279,WAWA,ON
S0137,WOODSTOCK,NB
S0457,KANATA,ON
S0652,WASAGA,ON
S0446,BRADFORD,ON
S0046,HANOVER,ON
S0006,BARRIE,ON
S0024,COCHRANE,ON
S0285,AMOS,QC
S0089,ROUYN NORANDA,QC
S0111,TIMMINS,ON
S0080,PERTH,ON
S0114,VAL DOR,QC
S0253,DEEP RIVER,ON
S0233,LA SARRE,QC
S0068,NEW LISKEARD,ON
S0174,OTTAWA,ON
S0210,OTTAWA,ON
S0061,MIDLAND,ON
S0417,KINGSTON,ON
S0038,FENELON FALLS,ON
S0187,WHITBY,ON
S0112,TRENTON,ON
S0007,BELLEVILLE,ON
S0005,BANCROFT,ON
S0195,KINGSTON,ON
S0156,THETFORD MINES,QC
S0179,FORT FRANCES,ON
S0034,THUNDER BAY,ON
S0204,KENORA,ON
S0305,BRAMPTON,ON
S0152,MISSISSAUGA,ON
S0675,BRAMPTON,ON
S0411,BRAMPTON,ON
S0010,BRAMPTON,ON
S0243,VICTORIAVILLE,QC
S0427,SCARBOROUGH,ON
S0280,STOUFFVILLE,ON
S0600,TORONTO,ON
S0070,ETOBICOKE,ON
S0247,ST. LEONARD,QC
S0073,ORANGEVILLE,ON
S0108,COLLINGWOOD,ON
S0154,HAMILTON,ON
S0220,WATERDOWN,ON
S0444,BARRIE,ON
S0169,MISSISSAUGA,ON
S0206,BRACEBRIDGE,ON
S0090,ST. CATHARINES,ON
S0077,OWEN SOUND,ON
S0282,NIAGARA FALLS,ON
S0129,HAMILTON,ON
S0128,PORT COLBORNE,ON
S0074,ORILLIA,ON
S0497,MISSISSAUGA,ON
S0051,KINCARDINE,ON
S0412,BURLINGTON,ON
S0127,UXBRIDGE,ON
S0424,OAKVILLE,ON
S0162,ST. CATHARINES,ON
S0015,BUCKINGHAM,QC
S0660,PETERBOROUGH,ON
S0020,CHARLOTTETOWN,PE
S0694,KINGSTON,ON
S0085,PRESCOTT,ON
S0056,LINDSAY,ON
S0682,MINDEN,ON
S0063,DIEPPE,NB
S0072,NORTH BAY,ON
S0083,THUNDER BAY,ON
S0120,MORRISBURG,ON
S0132,SUMMERSIDE,PE
S0691,RIVERVIEW,NB
S0136,MIRAMICHI,NB
S0049,CALEDONIA,ON
S0037,GANANOQUE,ON
S0029,DUNNVILLE,ON
S0071,NIAGARA FALLS,ON
S0657,HANMER,ON
S0491,TRACADIE SHEILA,NB
S0052,KIRKLAND LAKE,ON
S0241,MISSISSAUGA,ON
S0098,SMITHS FALLS,ON
S0235,ST. LAURENT,QC
S0227,KEMPTVILLE,ON
S0318,GATINEAU,QC
S0191,GATINEAU,QC
S0026,CORNWALL,ON
S0014,BROCKVILLE,ON
S0213,PORT HAWKESBURY,NS
S0399,MARKHAM,ON
S0336,OSHAWA,ON
S0181,PINCOURT,QC
S0460,WHITBY,ON
S0170,BOWMANVILLE,ON
S0177,HAMILTON,ON
S0324,PICKERING,ON
S0639,ANCASTER,ON
S0160,AJAX,ON
S0237,WOODBRIDGE,ON
S0149,KIRKLAND,QC
S0653,VAUGHAN,ON
S0456,GASPE,QC
S0294,ETOBICOKE,ON
S0646,VAUDREUIL,QC
S0030,SCARBOROUGH,ON
S0087,RICHMOND HILL,ON
S0040,GRIMSBY,ON
S0159,GEORGETOWN,ON
S0033,FORT ERIE,ON
S0638,HUMBOLDT,SK
S0176,GATINEAU,QC
S0157,HAWKESBURY,ON
S0042,GUELPH,ON
S0121,WINDSOR,ON
S0102,STURGEON FALLS,ON
S0278,SUDBURY,ON
S0231,VIMONT,QC
S0262,LACHUTE,QC
S0130,LONDON,ON
S0208,LONDON,ON
S0147,CHATEAUGUAY,QC
S0043,PARIS,ON
S0410,VEGREVILLE,AB
S0477,EDSON,AB
S0695,WHITECOURT,AB
S0236,WINDSOR,ON
S0622,WHITE ROCK,BC
S0493,COCHRANE,AB
S0655,SYLVAN LAKE,AB
S0272,NEPEAN,ON
S0158,DRUMMONDVILLE,QC
S0274,COWANSVILLE,QC
S0348,SHERBROOKE,QC
S0173,ST. GEORGES DE BEAUCE,QC
S0096,SHERBROOKE,QC
S0138,GRANBY,QC
S0291,LEWISPORTE,NL
S0650,CLARENVILLE,NL
S0045,HAMILTON,ON
S0126,TORONTO,ON
S0134,KESWICK,ON
S0091,ST. MARYS,ON
S0260,GUELPH,ON
S0075,OSHAWA,ON
S0189,AURORA,ON
S0664,BRANTFORD,ON
S0697,RICHMOND HILL,ON
S0182,TORONTO,ON
S0150,TORONTO,ON
S0066,MOUNT FOREST,ON
S0062,GRAVENHURST,ON
S0067,NEW GLASGOW,NS
S0054,NEW MINAS,NS
S0025,DIGBY,NS
S0433,CHILLIWACK,BC
S0224,BEDFORD,NS
S0618,UPPER TANTALLON,NS
S0021,CHATHAM,ON
S0308,TROIS RIVIERES,QC
S0643,BROSSARD,QC
S0699,SLAVE LAKE,AB
S0035,FREDERICTON,NB
S0232,ST. STEPHEN,NB
S0104,STRATHROY,ON
S0258,NEPEAN,ON
S0678,SURREY,BC
S0651,STRATHMORE,AB
S0140,MILTON,ON
S0264,TORONTO,ON
S0674,WATERLOO,ON
S0332,BOUCHERVILLE,QC
S0442,NEPEAN,ON
S0265,BAIE COMEAU,QC
S0342,QUEBEC CITY,QC
S0267,MONTREAL-NORD,QC
S0315,MATANE,QC
S0687,INNISFIL,ON
S0623,ROCKLAND,ON
S0155,LAVAL,QC
S0234,DOLLARD DES ORMEAUX,QC
S0004,ARNPRIOR,ON
S0625,CASSELMAN,ON
S0251,WATERLOO,ON
S0425,LONDON,ON
S0268,CHICOUTIMI,QC
S0172,ESSEX,ON
S0420,KITCHENER,ON
S0263,MOOSE JAW,SK
S0486,TERRACE,BC
S0229,GLACE BAY,NS
S0057,LISTOWEL,ON
S0240,MAGOG,QC
S0124,WOODSTOCK,ON
S0300,LAVAL,QC
S0429,OAKVILLE,ON
S0069,NEWMARKET,ON
S0648,MONT LAURIER,QC
S0686,NICOLET,QC
S0001,ALLISTON,ON
S0654,TORONTO,ON
S0019,TORONTO,ON
S0368,VICTORIA,BC
S0479,MISSION,BC
S0055,LEAMINGTON,ON
S0463,PASPEBIAC,QC
S0312,TERREBONNE,QC
S0611,CALGARY,AB
S0200,JOLIETTE,QC
S0079,PEMBROKE,ON
S0192,TORONTO,ON
S0064,MONTREAL,QC
S0022,ESPANOLA,ON
S0395,CRANBROOK,BC
S0612,WESTBANK,BC
S0296,SASKATOON,SK
S0928,MONTREAL,QC
S0117,VERDUN,QC
S0118,WELLAND,ON
S0209,SCARBOROUGH,ON
S0178,KAPUSKASING,ON
S0450,COLD LAKE,AB
S0164,MARKHAM,ON
S0323,RIVIERE DU LOUP,QC
S0245,QUEBEC CITY,QC
S0008,BLENHEIM,ON
S0422,ORLEANS,ON
S0659,OTTAWA,ON
S0909,HIGH RIVER,AB
S0298,ALMA,QC
S0935,VICTORIA,BC
S0603,BURNABY,BC
S0119,NORTH YORK,ON
S0645,RED DEER,AB
S0009,ST. LEONARD,QC
S0225,LAC MEGANTIC,QC
S0048,INGERSOLL,ON
S0230,LA SALLE,QC
S0115,SALABERRY-DE-VALLEYFIELD,QC
S0269,PORT ELGIN,ON
S0018,CARLETON PLACE,ON
S0205,GRAND FALLS,NL
S0349,SAINT JOHN,NB
S0142,AYLMER,ON
S0619,ELMSDALE,NS
S0343,MONTREAL,QC
S0454,MONTREAL,QC
S0627,MONTREAL,QC
S0257,STE. AGATHE DES MONTS,QC
S0039,GODERICH,ON
S0151,ST. HYACINTHE,QC
S0141,EXETER,ON
S0626,CHAMBLY,QC
S0292,MONTREAL,QC
S0649,BLAINVILLE,QC
S0910,TSAWWASSEN,BC
S0435,MONTREAL,QC
S0485,NORTH YORK,ON
S0017,CAMPBELLFORD,ON
S0290,OTTAWA,ON
S0352,LA TUQUE,QC
S0469,CANMORE,AB
S0086,RENFREW,ON
S0335,LA BAIE,QC
S0451,MARATHON,ON
S0284,DOLBEAU,QC
S0416,STE. MARIE,QC
S0400,MONTREAL,QC
S0175,SCARBOROUGH,ON
S0249,MONCTON,NB
S0437,CAMPBELL RIVER,BC
S0358,WINKLER,MB
S0328,MEDICINE HAT,AB
S0441,LETHBRIDGE,AB
S0106,SUSSEX,NB
S0901,LABRADOR CITY,NL
S0647,SHEDIAC,NB
S0261,GREENWOOD,NS
S0408,WEYBURN,SK
S0438,WILLIAMS LAKE,BC
S0474,PEACE RIVER,AB
S0303,MONTREAL,QC
S0027,DUNDAS,ON
S0640,FLIN FLON,MB
S0131,SHAWINIGAN,QC
S0635,FERNIE,BC
S0092,ST. THOMAS,ON
S0900,ST. PAUL,AB
S0145,ST. CATHARINES,ON
S0418,ROSEMERE,QC
S0047,HUNTSVILLE,ON
S0476,ROTHESAY,NB
S0167,ELLIOT LAKE,ON
S0242,REXDALE,ON
S0696,MERRITT,BC
S0492,CASTLEGAR,BC
S0297,OTTAWA,ON
S0238,ALEXANDRIA,ON
S0671,STETTLER,AB
S0082,PICTON,ON
S0194,HANNON,ON
S0369,VICTORIA,BC
S0306,LA MALBAIE,QC
S0099,SHAWVILLE,QC
S0633,LA POCATIERE,QC
S0461,MONT TREMBLANT,QC
S0325,STEPHENVILLE,NL
S0032,FOREST,ON
S0494,LONDON,ON
S0281,AMHERSTBURG,ON
S0148,SOREL,QC
S0656,MELFORT,SK
S0193,DELHI,ON
S0196,MANIWAKI,QC
S0406,HEARST,ON
S0198,THOMPSON,MB
S0146,ESTEVAN,SK
S0226,PORT PERRY,ON
S0698,OLIVER,BC
S0439,DRUMHELLER,AB
S0930,CALGARY,AB
S0932,NORTH SAANICH,BC
S0911,FORT MCMURRAY,AB
S0401,MONTREAL,QC
